,Name of cabinet,Name of DG,EC member,Title of EC representative,Date,TR ID,Name of interest representative,Location,Subject
548,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Frans Timmermans',)","('Executive Vice-President',)",01/27/20,"('191419916889-22',)",NV Nederlandse Spoorwegen,Brussels,rail sector and the green deal sector and the green deal
567,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Christiane Canenbley', 'Werner Stengg')","('Cabinet member', 'Cabinet member')",01/28/20,"('061601915428-87',)",ITI - The Information Technology Industry Council,Brussels,"introduction association, artificial intelligence and data strategy, digital services act"
568,['Cabinet of President Ursula von der Leyen'],[],"('Anthony Whelan',)","('Cabinet member',)",01/28/20,"('061601915428-87',)",ITI - The Information Technology Industry Council,"Brussels, Belgium","overall digital policy, including technological sovereignty, open multilateral economic governance, trade in technology, data strategy"
569,['Cabinet of Commissioner Thierry Breton'],[],"('Filomena Chirico',)","('Cabinet member',)",01/28/20,"('061601915428-87',)",ITI - The Information Technology Industry Council,Brussels,"priorities for tech regulation, single market and enforcement"
570,['Cabinet of Commissioner Virginijus Sinkevičius'],[],"('Marius  Vaščega\xa0',)","('Cabinet member',)",01/28/20,"('075071719925-75',)",Hewlett Packard Enterprise,Brussels,exchange of views on the next circular economy action plan.
571,[],['Environment'],"('Daniel Calleja Crespo',)","('Director-General',)",01/28/20,"('075071719925-75',)",Hewlett Packard Enterprise,Brussels,sustainability and ecodesign for printers
580,['Cabinet of Commissioner Kadri Simson'],[],"('Laure Chapuis-Kombos', 'Kadri Simson', 'Thor-Sten Vertmann', 'Stefano Grassi')","('Cabinet member', 'Commissioner', 'Cabinet member', 'Cabinet member')",01/28/20,"('25487567824-45',)",European Round Table for Industry,Brussels,"european green deal, sector integration, energy efficiency, industrial strategy"
581,['Cabinet of Commissioner Phil Hogan'],[],"('Phil Hogan',)","('Commissioner',)",01/28/20,"('25487567824-45',)",European Round Table for Industry,Brussels,trade issues
604,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Antoine Colombani',)","('Cabinet member',)",01/28/20,"('957105437070-49',)",Responsible Business Alliance,Brussels,discussion on due diligence in supply chains
605,['Cabinet of Commissioner Didier Reynders'],[],"('Lucrezia Busa', 'Didier Reynders')","('Cabinet member', 'Commissioner')",01/28/20,"('957105437070-49',)",Responsible Business Alliance,Brussels,general presentation of the their activities and their future events
614,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Alina-Stefania Ujupan', 'Kim Jorgensen')","('Cabinet member', 'Cabinet member')",01/29/20,"('17909506129-41',)",EUROGAS,Brussels ,"energy transition and energy transition and green deal, investment plan, renewable energy"
615,['Cabinet of Commissioner Janez Lenarčič'],[],"('Natalie Pauwels',)","('Cabinet member',)",01/29/20,"('17909506129-41',)",EUROGAS,Brussels,"energy transition and green deal, investment plan, renewable energy"
616,['Cabinet of Commissioner Johannes Hahn'],[],"('Kyriacos Charalambous',)","('Cabinet member',)",01/29/20,"('17909506129-41',)",EUROGAS,Brussels,"energy transition and green deal, investment plan, renewable energy, investment plan, renewable energy"
617,['Cabinet of Commissioner Paolo Gentiloni'],[],"('Alienor Margerit',)","('Cabinet member',)",01/29/20,"('17909506129-41',)",EUROGAS,"Brussels, BE","role of gas in the energy transition and the energy transition and green deal, investment plan, renewable energy"
618,['Cabinet of Commissioner Janusz Wojciechowski'],[],"('Simona Pinzariu', 'Jorge Pinto Antunes')","('Cabinet member', 'Cabinet member')",01/29/20,"('17909506129-41',)",EUROGAS,Brussels,"the role of gas in the energy transition and the energy transition and green deal, investment plan, renewable energy."
622,['Cabinet of President Ursula von der Leyen'],[],"('Kurt Vandenberghe',)","('Cabinet member',)",01/29/20,"('3954187491-70',)",International Association of Oil & Gas Producers Europe,Brussels,european green deal
623,['Cabinet of Commissioner Johannes Hahn'],[],"('Kyriacos Charalambous',)","('Cabinet member',)",01/29/20,"('3954187491-70',)",International Association of Oil & Gas Producers Europe,Brussels,"green deal, investment plan, renewable energy"
639,['Cabinet of Commissioner Thierry Breton'],[],"('Valere Moutarlier', 'Pauline Weinzierl')","('Cabinet member', 'Cabinet member')",01/29/20,"('84973761187-60',)",EuroCommerce,Brussels,"discussion on the priorities of the new commission of relevance to the retail sector, implementation of key legislation and key barriers faced by the sector across the eu and in specific markets"
640,['Cabinet of Vice-President Věra Jourová'],[],"('Věra Jourová', 'Eduard Hulicius')","('Vice-President', 'Cabinet member')",01/29/20,"('84973761187-60',)",EuroCommerce,"Brussels, Belgium","rule of law, consumer protection"
642,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Frans Timmermans',)","('Executive Vice-President',)",01/29/20,"('93038071152-83',)",The European Steel Association,Brussels,steel sector and the green deal
643,['Cabinet of Commissioner Phil Hogan'],[],"('Agnieszka Drzewoska', 'Phil Hogan')","('Cabinet member', 'Commissioner')",01/29/20,"('93038071152-83',)",The European Steel Association,Brussels,trade issues
678,['Cabinet of Commissioner Adina Vălean'],[],"('Adina-Ioana Vălean',)","('Commissioner',)",01/30/20,"('78891371297-34',)",European Transport Safety Council,Brussels,"introductory meeting with mr. antonio avenoso, executive director"
679,['Cabinet of Commissioner Adina Vălean'],[],"('Walter Goetz',)","('Cabinet member',)",01/30/20,"('78891371297-34',)",European Transport Safety Council,brussels ,transport
680,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Michael Hager', 'Jérôme Deslandes')","('Cabinet member', 'Cabinet member')",01/30/20,"('799142914971-03',)","Banco Santander, S.A.",Brussels,"-discussion of multiple point of entry resolution strategy, basel iii's approach to operational risk"
681,[],"['Financial Stability, Financial Services and Capital Markets Union']","('John Berrigan',)","('Director-General',)",01/30/20,"('799142914971-03',)","Banco Santander, S.A.",Brussels,"capital markets, banking union"
682,[],['Environment'],"('Daniel Calleja Crespo',)","('Director-General',)",01/30/20,"('799142914971-03',)","Banco Santander, S.A.",Brussels,sustainability and green deal
689,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Frans Timmermans',)","('Executive Vice-President',)",01/31/20,"('0649790813-47',)",Association des Constructeurs Européens d'Automobiles,Brussels,green deal and car industry
690,['Cabinet of Commissioner Phil Hogan'],[],"('Phil Hogan',)","('Commissioner',)",01/31/20,"('0649790813-47',)",Association des Constructeurs Européens d'Automobiles,Brussels,trade issues
697,[],['European Anti-Fraud Office'],"('Ville Itälä',)","('Director-General',)",01/31/20,"('501222919-71',)",Transparency International Liaison Office to the European Union,"Budapest, Hungary",fight against fraud and corruption
698,[],['European Anti-Fraud Office'],"('Ville Itälä',)","('Director-General',)",01/31/20,"('501222919-71',)",Transparency International Liaison Office to the European Union,"Budapest, Hungary",protection of the european union's financial interests: olaf's role
743,['Cabinet of Vice-President Věra Jourová'],[],"('Věra Jourová', 'Wojtek Talko', 'Daniel Braun')","('Vice-President', 'Cabinet member', 'Cabinet member')",02/04/20,"('03181945560-59',)",Google,"Brussels, Belgium",ec digital priorities
744,['Cabinet of Commissioner Ylva Johansson'],[],"('Tom Snels', 'Monika Maglione')","('Cabinet member', 'Cabinet member')",02/04/20,"('03181945560-59',)",Google,Brussels,eu internal security: cooperation with the industry in the fight against terrorism and child abuse online.
745,['Cabinet of Commissioner Nicolas Schmit'],[],"('Nicolas Schmit', 'Fabien Dell', 'Antoine Kasel', 'Anouk Faber')","('Commissioner', 'Cabinet member', 'Cabinet member', 'Cabinet member')",02/04/20,"('03181945560-59',)",Google,Brussels,skills
768,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Margrethe Vestager', 'Werner Stengg')","('Executive Vice-President', 'Cabinet member')",02/04/20,"('582824527068-76',)",Suomen itsenäisyyden juhlarahasto,Brussels,digital policy
