,Name of cabinet,Name of DG,EC member,Title of EC representative,Date,TR ID,Name of interest representative,Location,Subject
14848,[],"['Internal Market, Industry, Entrepreneurship and SMEs']","('Kerstin Jorna',)","('Director-General',)",06/27/23,"('56953548578-36',)",EUROPEAN AUSTRALIAN BUSINESS COUNCIL,Brussels,present their views on the green deal industrial plan and more specifically europe's strategy with respect to hydrogen and critical raw materials
14849,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Michele Piergiovanni', 'Liliane Giardino-Karlinger')","('Cabinet member', 'Cabinet member')",06/27/23,"('588327811384-96',)",Apple Inc.,Brussels,digital market act
14850,[],['Climate Action'],"('Kurt Vandenberghe',)","('Director-General',)",06/27/23,"('588327811384-96',)",Apple Inc.,Brussels,exchange on the future of the eu's green deal and how to enable our mutual goal of tackling the climate crisis
14853,['Cabinet of Commissioner Kadri Simson'],[],"('Ruud Kempener', 'Stefano Grassi')","('Cabinet member', 'Cabinet member')",06/27/23,"('676889648373-61',)",EDP SA,Brussels,"electricity market design, renewables investments, grids."
14854,['Cabinet of Commissioner Elisa Ferreira'],[],"('Francisco Barros Castro', 'Hugo Monteiro Brilhante Sobral', 'Elisa Ferreira')","('Cabinet member', 'Cabinet member', 'Commissioner')",06/27/23,"('676889648373-61',)",EDP SA,Brussels,presentation of edp activities
14858,[],"['Internal Market, Industry, Entrepreneurship and SMEs']","('Kerstin Jorna',)","('Director-General',)",06/27/23,"('81970148701-15',)",Heidelberg Materials AG,Brussels,discuss their views on how to accelerate the transformation of the eu construction material industry.
14859,['Cabinet of Commissioner Kadri Simson'],[],"('Ruud Kempener',)","('Cabinet member',)",06/27/23,"('81970148701-15',)",Heidelberg Materials AG,Brussels,introduction to heidelberg materials and nzia
14876,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Katherine Power', 'Patricia Reilly', 'Mairead McGuinness', 'Tommy De Temmerman')","('Cabinet member', 'Cabinet member', 'Commissioner', 'Cabinet member')",06/28/23,"('56953548578-36',)",EUROPEAN AUSTRALIAN BUSINESS COUNCIL,"Brussels, Belgium",introductory meeting with commissioner mcguinness
14877,['Cabinet of Commissioner Kadri Simson'],[],"('Jaan Mannik', 'Kadri Simson')","('Cabinet member', 'Commissioner')",06/28/23,"('56953548578-36',)",EUROPEAN AUSTRALIAN BUSINESS COUNCIL,"Brussels, Belgium ",the commissioner informed them of emergency actions taken in eu to address the energy crisis after the start of war in ukraine. she also spoke about renewable energy sector. visitors gave an overview of their energy sector and areas of cooperation.
14897,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Liliane Giardino-Karlinger',)","('Cabinet member',)",06/29/23,"('91216972728-77',)",BOUYGUES EUROPE,Brussels,digital market act
14898,['Cabinet of Commissioner Thierry Breton'],[],"('Eleonora Ocello',)","('Cabinet member',)",06/29/23,"('91216972728-77',)",BOUYGUES EUROPE,Brussels,"european media freedom act, dma, audiovisual policy"
14927,['Cabinet of Commissioner Virginijus Sinkevičius'],[],"('Giedrius Alasevicius',)","('Cabinet member',)",07/03/23,"('630393933743-37',)",ZOE Institute for Future-Fit Economies gUG,Berlaymont,"an academic discussion on the legislative process in the eu - what sets apart legislation that is easier to pass, what are possible improvements to the process."
14928,['Cabinet of Commissioner Elisa Ferreira'],[],"('Francisco Barros Castro',)","('Cabinet member',)",07/03/23,"('630393933743-37',)",ZOE Institute for Future-Fit Economies gUG,Brussels,presentation of zoe and its work on effective governance
14936,['Cabinet of President Ursula von der Leyen'],[],"('Valeria Miceli',)","('Cabinet member',)",07/04/23,"('234317527985-69',)",Bank Julius Baer & Co. Ltd,Brussels - BERL,"exchange of views on the recent banking crisis, on sanctions enforcement and on digital euro."
14937,[],"['Financial Stability, Financial Services and Capital Markets Union']","('John Berrigan',)","('Director-General',)",07/04/23,"('234317527985-69',)",Bank Julius Baer & Co. Ltd,Brussels,"sustainable finance, the digital agenda"
14959,['Cabinet of Commissioner Thierry Breton'],[],"('Joan Canton',)","('Cabinet member',)",07/05/23,"('1849405799-88',)",TotalEnergies SE,Brussels,"electricity market design reform, hydrogen strategy"
14960,['Cabinet of Vice-President Maroš Šefčovič'],[],"('Adam Romanowski', 'Maroš Šefčovič')","('Cabinet member', 'Executive Vice-President')",07/05/23,"('1849405799-88',)",TotalEnergies SE,Brussels,eu energy platform
14971,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Werner Stengg',)","('Cabinet member',)",07/05/23,"('612547127497-45',)",Reporters sans frontières,Brussels,artificial intelligence
14972,['Cabinet of Vice-President Věra Jourová'],[],"('Simona Constantin', 'Marie Frenay')","('Cabinet member', 'Cabinet member')",07/05/23,"('612547127497-45',)",Reporters sans frontières,videoconference call,"slapp, media policy"
15035,[],['Research and Innovation'],"('Marc Lemaître',)","('Director-General',)",07/12/23,"('028145011837-13',)","Institut national de recherche pour l’agriculture, l’alimentation et l’environnement",Brussels,agricultural research
15036,[],['Agriculture and Rural Development'],"('Wolfgang Burtscher ',)","('Director-General',)",07/12/23,"('028145011837-13',)","Institut national de recherche pour l’agriculture, l’alimentation et l’environnement",Brussels,research and digitalisation
15037,[],['Research and Innovation'],"('Marc Lemaître',)","('Director-General',)",07/12/23,"('028145011837-13',)","Institut national de recherche pour l’agriculture, l’alimentation et l’environnement",Brussels,to present inrae and its priorities for the next strategic plan
15048,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Simon Genevaz', 'Liliane Giardino-Karlinger')","('Cabinet member', 'Cabinet member')",07/12/23,"('91216972728-77',)",BOUYGUES EUROPE,Brussels,ott fair share and gigabit recommendation
15049,['Cabinet of Commissioner Thierry Breton'],[],"('Eleonora Ocello',)","('Cabinet member',)",07/12/23,"('91216972728-77',)",BOUYGUES EUROPE,Brussels,telecom policy
15141,['Cabinet of Commissioner Stella Kyriakides'],[],"('Ines Prainsack', 'Roberto Reig Rodrigo', 'Annukka Ojala', 'Giorgios Rossides')","('Cabinet member', 'Cabinet member', 'Cabinet member', 'Cabinet member')",08/28/23,"('09586631237-74', '44856881231-49')","European agri-cooperatives,European farmers",Brussels ,exchange with copa-cogeca on the implementation of the farm to fork strategy
15142,['Cabinet of President Ursula von der Leyen'],[],"('Peter van Kemseke',)","('Cabinet member',)",08/28/23,"('09586631237-74', '44856881231-49')","European agri-cooperatives,European farmers",Brussels ,on animal welfare
15201,[],['Mobility and Transport'],"('Magdalena Kopczynska',)","('Director-General',)",09/07/23,"('2050009628-31',)","Comité du commerce des céréales, aliments du bétail, oléagineux, huile d'olive, huiles et graisses et agrofournitures de l'U.E.",Brussels,exchange of views on the situation of exports of grain from ukraine through solidarity lanes
15202,[],['Agriculture and Rural Development'],"('Wolfgang Burtscher ',)","('Director-General',)",09/07/23,"('2050009628-31',)","Comité du commerce des céréales, aliments du bétail, oléagineux, huile d'olive, huiles et graisses et agrofournitures de l'U.E.",Brussels,information from coceral on grain export from ukraine related issues
15235,['Cabinet of Commissioner Didier Reynders'],[],"('Lucrezia Busa',)","('Cabinet member',)",09/12/23,"('39912257528-48',)",Confederation of Swedish Enterprise,Brussels ,csddd
15236,[],['Climate Action'],"('Kurt Vandenberghe',)","('Director-General',)",09/12/23,"('39912257528-48',)",Confederation of Swedish Enterprise,Brussels,give an overview of the eu policy landscape
15278,['Cabinet of Commissioner Thierry Breton'],[],"('Fabrice Comptour', 'Thierry Breton')","('Cabinet member', 'Commissioner')",09/18/23,"('070028236358-54',)",ASML Netherlands B.V.,brussels,semiconductor-related developments
15279,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Valdis Dombrovskis ',)","('Executive Vice-President',)",09/18/23,"('070028236358-54',)",ASML Netherlands B.V.,Brussels,"semiconductors industry, export controls"
15287,[],['European Neighbourhood and Enlargement Negotiations'],"('Gert-Jan Koopman',)","('Director-General',)",09/18/23,"('65744846168-89',)",Danone,Brussels,agricultural projects in morocco
15288,[],['Directorate-General for International Partnerships'],"('Koen Doens',)","('Director-General',)",09/18/23,"('65744846168-89',)",Danone,Brussels,global gateway
15297,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Patricia Reilly',)","('Cabinet member',)",09/19/23,"('117683115792-20',)",MARSH & McLENNAN COMPANIES FRANCE,Brussels,"discussion of international banking regulation, and progress on the introduction of basel iii reforms in the united states."
15298,[],"['Financial Stability, Financial Services and Capital Markets Union']","('John Berrigan',)","('Director-General',)",09/19/23,"('117683115792-20',)",MARSH & McLENNAN COMPANIES FRANCE,Brussels,key financial policy issues globally.
15328,['Cabinet of Vice-President Maroš Šefčovič'],[],"('Juraj Nociar',)","('Cabinet member',)",09/20/23,"('05032108616-26',)",Shell Companies,Bruseels,eu 2040 climate target plan
15329,['Cabinet of Commissioner Adina Vălean'],[],"('Pablo Fabregas Martinez', 'Filip Alexandru Negreanu Arboreanu')","('Cabinet member', 'Cabinet member')",09/20/23,"('05032108616-26',)",Shell Companies,Brussels,fit for 55
15377,['Cabinet of Commissioner Thierry Breton'],[],"('Joan Canton',)","('Cabinet member',)",09/26/23,"('278373226442-94',)",Northvolt,Brussels,"critical raw materials act, net zero industry act"
15378,['Cabinet of Vice-President Maroš Šefčovič'],[],"('Adam Romanowski',)","('Cabinet member',)",09/26/23,"('278373226442-94',)",Northvolt,Brussels,energy
15379,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Florian Denis', 'Mairead McGuinness')","('Cabinet member', 'Commissioner')",09/26/23,"('389356530261-76',)","Stripe, Inc.",Brussels,"eu payments regulation reform
digital euro 
psd3/psdr"
15380,['Cabinet of Commissioner Thierry Breton'],[],"('Maurits-Jan Prinz',)","('Cabinet member',)",09/26/23,"('389356530261-76',)","Stripe, Inc.",Brussels,eu startup policy
15381,['Cabinet of President Ursula von der Leyen'],[],"('Anthony Whelan',)","('Cabinet member',)",09/26/23,"('389356530261-76',)","Stripe, Inc.",Brussels ,on the competitiveness and sme relief agendas
15390,['Cabinet of Commissioner Thierry Breton'],[],"('Maurits-Jan Prinz',)","('Cabinet member',)",09/26/23,"('672219746759-76',)","OpenAI OpCo, LLC",Brussels,ai act
15391,['Cabinet of Vice-President Věra Jourová'],[],"('Věra Jourová',)","('Vice-President',)",09/26/23,"('672219746759-76',)","OpenAI OpCo, LLC",Brussels,artificial intelligence act and artificial intelligence policy developments
15402,['Cabinet of Commissioner Paolo Gentiloni'],[],"('Fabrizio Balassone',)","('Cabinet member',)",09/27/23,"('478977744955-91',)",Mundys Group,BERL - BRU,"description of mundys general, group and by country activities"
15403,[],['Structural Reform Support'],"('Mario Nava',)","('Director-General',)",09/27/23,"('478977744955-91',)",Mundys Group,"Brussels, Belgium",meeting with mundys - presentation about their work and priorities
15404,[],['Climate Action'],"('Kurt Vandenberghe',)","('Director-General',)",09/27/23,"('478977744955-91',)",Mundys Group,Brussels,"present mundys in more detail, discuss their activities and investments in europe and how mundys can support the green and digital transition under the eu agenda."
15409,['Cabinet of Vice-President Věra Jourová'],[],"('Werner Stengg',)","('Cabinet member',)",09/28/23,"('03181945560-59',)",Google,videoconference call,artificial intelligence regulation and initiatives
15410,['Cabinet of Vice-President Věra Jourová'],[],"('Wojtek Talko', 'Daniel Braun')","('Cabinet member', 'Cabinet member')",09/28/23,"('03181945560-59',)",Google,Brussels,"elections, political advertising regulation"
15429,[],['Research and Innovation'],"('Marc Lemaître',)","('Director-General',)",09/28/23,"('787054318177-33',)",Centre National de la Recherche Scientifique,Brussels,"- presentation de l'organisme
- attentes du cnrs pour le prochain programme cadre
- implication du cnrs dans le programme france 2030
- echanges autour de themes plus specifiques (infrastructures, recherche fondamentale, ou autres)"
15430,[],['Research and Innovation'],"('Marc Lemaître',)","('Director-General',)",09/28/23,"('787054318177-33',)",Centre National de la Recherche Scientifique,Brussels,"era, fp10, open science, researchers careers, innovation, france 2030"
15485,['Cabinet of Vice-President Věra Jourová'],[],"('Marie Frenay',)","('Cabinet member',)",10/05/23,"('43245696854-79',)","EUROCINEMA, Association de producteurs de cinéma et de télévision",Brussels,european media freedom act
15486,['Cabinet of Commissioner Thierry Breton'],[],"('Eleonora Ocello',)","('Cabinet member',)",10/05/23,"('43245696854-79',)","EUROCINEMA, Association de producteurs de cinéma et de télévision",Brussles,media policy
15489,['Cabinet of Vice-President Maroš Šefčovič'],[],"('Juraj Nociar',)","('Cabinet member',)",10/05/23,"('565032821273-72',)",European Network of Transmission System Operators for Gas,Brussels,hydrogen
15490,['Cabinet of Commissioner Kadri Simson'],[],"('Kadri Simson', 'Helena Hinto')","('Commissioner', 'Cabinet member')",10/05/23,"('565032821273-72',)",European Network of Transmission System Operators for Gas,Brussels,winter outlook.
15492,['Cabinet of Commissioner Kadri Simson'],[],"('Peeter Kadarik', 'Thor-Sten Vertmann')","('Cabinet member', 'Cabinet member')",10/05/23,"('68861821910-84',)",Finnish Energy - Energiateollisuus ry,Brussels,"cabinet members discussed with finnish energy various technical aspects of energy market developments, regulatory measures, and future investments in the renewable energy sector"
15493,['Cabinet of Commissioner Jutta Urpilainen'],[],"('Suvi Leinonen',)","('Cabinet member',)",10/05/23,"('68861821910-84',)",Finnish Energy - Energiateollisuus ry,Brussels,electricity market
15514,['Cabinet of Commissioner Didier Reynders'],[],"('Lucrezia Busa', 'Luc De Lobel')","('Cabinet member', 'Cabinet member')",10/09/23,"('641483424039-61',)",European Chamber of Commerce in Vietnam,Brussels,discussion on the gdpr as an international norm in the framework of the digital strategy of the eu (in particular with regards vietnam).
15515,[],['Directorate-General for International Partnerships'],"('Koen Doens',)","('Director-General',)",10/09/23,"('641483424039-61',)",European Chamber of Commerce in Vietnam,Brussels,exchange on the global gateway
