TR Name,Category of registration,Degree,Hypercoreness_False,Hypercoreness_sub_False,Hypercoreness_True,Hypercoreness_sub_True,Hypercoreness_G_False,Hypercoreness_G_sub_False,Hypercoreness_G_True,Hypercoreness_G_sub_True,TR Country,Members FTE,Assets,Revenue,Nb employees,NACE,Level Sub-National,Level Global,Level European,Level National,Level Regional/Local
Assicurazioni Generali S.p.A,Companies and groups,19.0,0.469712119039653,0.254628014025292,0.0756899309567145,0.0715825248397324,0.638888888888889,0.40625,0.124,0.134020618556701,ITALY,3.95,553619530.979991,85079441.3799048,,K - Financial and insurance activities,1,1,1,1,0
Science Europe,Think tanks and research institutions,4.0,0.104115088658414,,0.0111580051958318,,0.111111111111111,,0.016,,BELGIUM,7.0,,,,,0,1,1,0,0
Hydrogen Europe,Trade and business associations,49.0,0.924917554843952,0.816352177742327,0.196717014322236,0.270483469179196,1.0,1.0,0.328,0.45360824742268,BELGIUM,13.85,,,,,0,0,1,0,0
Airlines for Europe,Trade and business associations,34.0,0.70180136691679,0.342846934875451,0.131265995179544,0.0863179010964134,0.638888888888889,0.25,0.208,0.144329896907216,BELGIUM,5.0,,,,,0,0,1,0,0
European Science Foundation (ESF),Think tanks and research institutions,3.0,0.0520575443292071,,0.0083685038968738,,0.0555555555555556,,0.012,,FRANCE,11.5,,,,,0,1,1,1,1
Cosmetics Europe,Trade and business associations,9.0,0.227293887109879,0.230218771291357,0.0448708757899995,0.0755261429861051,0.777777777777778,0.84375,0.112,0.278350515463918,BELGIUM,5.0,,,,,0,1,1,0,0
Wilfried Martens Centre for European Studies,Think tanks and research institutions,3.0,0.0815322850451656,,0.0168077043709862,,0.0833333333333333,,0.024,,BELGIUM,2.0,,,,,0,0,1,0,0
Vodafone Belgium SA,Companies and groups,68.0,0.835256735012506,0.45939478538312,0.180704883538352,0.128591580409262,0.75,0.53125,0.284,0.268041237113402,BELGIUM,8.0,16783.6791075628,9421.67013987768,16.0,J - Information and communication,0,1,1,0,0
Re-Imagine Europa,Think tanks and research institutions,14.0,0.396909620991254,0.0879634245642023,0.0687255169370306,0.0642912096493088,0.444444444444444,0.125,0.1,0.123711340206186,BELGIUM,4.75,,,,,0,0,1,0,0
Institutional Investors Group on Climate Change,"Non-governmental organisations, platforms and networks and similar",6.0,0.130143860823018,,0.0167370077937477,,0.138888888888889,,0.024,,UNITED KINGDOM,2.75,,,,,0,1,1,1,0
European Tech Alliance,Trade and business associations,18.0,0.606629546432156,0.470237798494441,0.101748182215545,0.160159678663404,0.694444444444444,0.4375,0.168,0.216494845360825,BELGIUM,1.0,,,,,0,0,1,0,0
Association of National Organisations of Fishing Enterprises in the European Union,Trade and business associations,12.0,0.277161656231579,0.268129850275022,0.0572502390502112,0.0785664210830601,0.333333333333333,0.3125,0.092,0.103092783505155,BELGIUM,3.0,,,,,0,0,1,0,0
Airbus,Companies and groups,130.0,0.901389061479393,0.814407913322366,0.223740470862936,0.293756025216338,0.888888888888889,0.90625,0.328,0.556701030927835,NETHERLANDS,5.25,123665811.066628,63178954.0874958,134267.0,C - Manufacturing,1,1,1,1,0
The Central Organisation of Finnish Trade Unions SAK,Trade unions and professional associations,8.0,0.362979018305214,0.332440134935274,0.0627228421961718,0.109816844396867,0.777777777777778,0.84375,0.156,0.278350515463918,FINLAND,2.5,,,,,1,1,1,1,0
STTK ry,Trade unions and professional associations,5.0,0.231667064952445,0.077552470212872,0.036841309191136,0.0269130299753506,0.25,0.0625,0.072,0.0515463917525773,FINLAND,1.8,,,,,0,0,0,1,0
"CSR Europe, The Business Network for Corporate Social Responsibility","Non-governmental organisations, platforms and networks and similar",13.0,0.298533511765362,,0.0521699379014725,,0.305555555555556,,0.076,,BELGIUM,2.25,,,,,0,1,1,0,0
Eurogroup for Animals,"Non-governmental organisations, platforms and networks and similar",33.0,0.573180391594577,0.285088156604683,0.118281099650186,0.0848018094431539,0.555555555555556,0.46875,0.18,0.154639175257732,BELGIUM,3.1,,,,,0,1,1,1,0
"Aerospace, Security and Defence Industries Association of Europe",Trade and business associations,23.0,0.669699055266135,0.560064476461106,0.133236654864083,0.213530947550623,0.861111111111111,0.90625,0.268,0.556701030927835,BELGIUM,3.5,,,,,0,0,1,0,0
